                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7199,                  2.487,                 1.4423,                0.68102,                0.13448,                 0.3844,                 0.2119,                 1.6386,                 2.7499,                 1.3782,              0.0004662,              0.0004662,              0.0004662
                      2,                 1.6447,                 1.9335,                 1.4416,                0.61856,                 0.4289,                0.44335,                0.25114,                 1.6539,                 2.1173,                 1.5364,             0.00092387,             0.00092387,             0.00092387
                      3,                 1.6584,                 1.7991,                 1.4479,                 0.5589,                0.39412,                0.43337,                0.20263,                 1.9593,                 2.3953,                 1.7615,              0.0013627,              0.0013627,              0.0013627
                      4,                 1.6677,                 1.7314,                 1.4554,                0.50582,                0.45246,                0.48873,                0.24589,                 1.7524,                 2.4448,                 1.6463,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.6308,                 1.6778,                 1.4417,                0.40615,                0.42349,                0.39643,                0.21011,                 1.8162,                 1.9878,                 1.6078,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.6364,                 1.5631,                 1.4401,                0.63996,                0.49639,                0.52554,                0.28221,                 1.6746,                 1.6414,                 1.5509,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.6009,                 1.5226,                 1.4271,                0.67938,                0.47563,                 0.5636,                0.29976,                 1.7867,                 1.5189,                 1.6287,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5573,                 1.4286,                 1.4158,                0.73539,                0.49018,                0.58593,                0.33811,                  1.672,                   1.53,                 1.4935,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5294,                 1.3912,                 1.3882,                0.75982,                0.49525,                0.54504,                0.30492,                  1.697,                 1.4186,                  1.554,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5388,                 1.3393,                 1.3985,                0.71139,                0.61189,                0.63177,                0.34975,                 1.6561,                  1.407,                  1.494,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.5468,                 1.3437,                 1.4052,                0.72117,                0.57221,                0.63275,                0.35534,                 1.6498,                  1.495,                 1.5095,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.4901,                 1.2842,                 1.3577,                0.64181,                0.50419,                0.51644,                 0.3088,                 1.6246,                 1.4118,                 1.4663,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.4691,                 1.2539,                 1.3646,                0.77385,                0.55507,                0.65262,                  0.378,                 1.6096,                 1.3447,                 1.4423,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4376,                 1.1548,                 1.3306,                0.66636,                0.66243,                0.66365,                0.38456,                 1.5563,                 1.5545,                 1.4095,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.4221,                 1.1585,                 1.3135,                0.69572,                0.61646,                0.60937,                 0.3341,                 1.5415,                 1.3962,                 1.4392,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.4051,                 1.1314,                 1.3171,                0.79574,                 0.5914,                0.67058,                0.38801,                 1.7158,                 1.3805,                 1.5392,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3929,                   1.12,                 1.3076,                0.80564,                0.60462,                0.69861,                0.41129,                 1.5717,                 1.2554,                  1.469,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.3617,                 1.0876,                 1.2866,                0.80315,                0.54839,                0.65479,                0.38999,                 1.5135,                 1.1941,                 1.3921,               0.000948,               0.000948,               0.000948
                     19,                 1.3354,                 1.0612,                  1.284,                0.84632,                  0.602,                0.72114,                0.44808,                 1.5714,                 1.2417,                 1.4347,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.3333,                 1.0372,                 1.2983,                0.70978,                0.63026,                0.67783,                0.42101,                 1.5777,                  1.277,                 1.4691,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.3245,                0.99578,                 1.2706,                0.79504,                0.65178,                0.71051,                0.43283,                 1.5933,                 1.2094,                 1.4689,             0.00086312,             0.00086312,             0.00086312
