                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6108,                  2.553,                 1.3356,                0.93811,                0.12367,                0.32059,                 0.1832,                   1.56,                 2.8757,                   1.28,             0.00036335,             0.00036335,             0.00036335
                      2,                 1.5943,                 1.7781,                 1.3625,                0.60468,                0.32779,                0.34526,                0.17466,                  1.674,                 2.2125,                 1.4811,             0.00071915,             0.00071915,             0.00071915
                      3,                 1.5928,                 1.6675,                  1.392,                0.62845,                0.35998,                0.37765,                0.19878,                 1.6012,                 1.5557,                  1.444,              0.0010603,              0.0010603,              0.0010603
                      4,                 1.5756,                 1.5706,                 1.3828,                0.53873,                0.37428,                0.37146,                0.18777,                 1.7231,                 1.6032,                 1.5413,               0.001045,               0.001045,               0.001045
                      5,                 1.5835,                 1.5067,                 1.3815,                0.73113,                 0.3927,                0.44104,                0.23501,                 1.6588,                 1.4223,                 1.4703,               0.001023,               0.001023,               0.001023
                      6,                 1.5385,                  1.419,                 1.3491,                0.71326,                0.35676,                0.41621,                0.21513,                 1.6826,                 1.5204,                 1.5287,               0.001001,               0.001001,               0.001001
                      7,                 1.5339,                  1.334,                 1.3549,                0.53172,                0.48991,                0.44548,                0.22405,                 1.5909,                 1.3332,                 1.4604,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.4596,                 1.2217,                 1.3118,                0.69126,                0.44512,                0.44975,                0.23772,                 1.5327,                 1.1258,                 1.4018,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.4319,                 1.1554,                 1.2838,                0.72867,                0.44154,                 0.4737,                0.27074,                 1.5741,                 1.1906,                 1.4187,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.4054,                 1.1097,                 1.2789,                0.87716,                  0.398,                0.48568,                0.27062,                 1.5926,                 1.1829,                 1.4315,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.4471,                 1.1076,                 1.3046,                0.59933,                0.47292,                0.47599,                0.27801,                 1.4891,                 1.1167,                 1.3943,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.3856,                 1.0539,                 1.2732,                0.74097,                0.41544,                0.45898,                0.27246,                 1.5236,                 1.1547,                 1.3563,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.3873,                 1.0349,                 1.2658,                0.75952,                0.45605,                0.54309,                0.30703,                 1.5054,                 1.0783,                 1.3561,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.3583,                0.98566,                 1.2451,                0.68608,                0.46057,                0.50082,                0.29123,                 1.5194,                 1.0242,                 1.3548,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.3586,                0.94668,                 1.2389,                 0.6716,                0.54098,                 0.5427,                0.30305,                 1.5411,                 1.0456,                 1.3694,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.3062,                0.93796,                  1.218,                0.88182,                0.42012,                 0.5326,                0.28798,                  1.484,                 1.0259,                 1.3563,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.3232,                0.93999,                  1.235,                0.89646,                0.50521,                0.58406,                0.30364,                 1.5397,                 1.0138,                  1.386,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.3156,                0.92478,                 1.2317,                0.81133,                0.51379,                0.56829,                0.30528,                 1.4892,                  1.068,                 1.3694,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.2884,                0.89208,                 1.2148,                 0.7256,                0.51584,                0.52704,                0.30043,                 1.4844,                0.95735,                 1.3662,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.2663,                0.86009,                 1.1932,                0.63315,                0.45599,                0.55727,                0.30591,                 1.5377,                 1.0047,                 1.4162,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.2751,                0.82418,                 1.1879,                0.72969,                0.52847,                0.58033,                 0.3231,                 1.4577,                 0.9146,                 1.3436,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.2574,                 0.8306,                 1.1957,                0.84265,                0.56344,                0.63563,                0.36435,                 1.5161,                0.93123,                 1.3759,             0.00064905,             0.00064905,             0.00064905
                     23,                  1.234,                 0.8017,                 1.1759,                0.79635,                 0.5444,                0.54868,                0.33118,                 1.4921,                0.96132,                 1.3587,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.2052,                0.77855,                 1.1557,                0.85753,                0.52207,                0.60092,                0.34087,                 1.5075,                0.94025,                 1.3757,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.1947,                0.77889,                 1.1702,                0.80939,                 0.5808,                0.59405,                0.34787,                 1.4948,                0.92887,                 1.3868,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.1957,                 0.7519,                 1.1474,                 0.7201,                0.60874,                0.58513,                0.33188,                 1.5129,                0.92917,                 1.4079,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.1714,                0.72867,                  1.148,                0.92109,                0.54937,                0.63065,                0.34051,                 1.4588,                0.91115,                 1.3436,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.1468,                0.72525,                 1.1299,                0.77129,                0.48647,                0.55952,                0.31942,                 1.4774,                0.98623,                 1.3605,             0.00051706,             0.00051706,             0.00051706
                     29,                   1.12,                 0.7012,                 1.1213,                 0.7461,                0.58689,                 0.6487,                0.35152,                 1.5018,                0.88408,                 1.3818,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.1575,                0.70823,                 1.1359,                0.77677,                0.56249,                0.56058,                0.32929,                 1.4959,                0.90637,                 1.3758,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.1036,                0.68221,                 1.1172,                0.89414,                0.56539,                0.62875,                0.34566,                 1.5097,                0.91403,                 1.3751,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.1246,                0.71647,                 1.1293,                0.83226,                0.54515,                0.62914,                0.36807,                 1.4827,                0.90826,                 1.3545,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.1099,                 0.6933,                 1.1173,                0.83625,                0.49702,                0.58847,                0.34923,                 1.5056,                0.91425,                 1.3844,             0.00040707,             0.00040707,             0.00040707
                     34,                 1.1014,                0.66669,                 1.1127,                0.81098,                0.46969,                0.53903,                0.33092,                 1.5337,                0.88811,                 1.4068,             0.00038507,             0.00038507,             0.00038507
                     35,                  1.095,                0.66751,                 1.1063,                0.89983,                0.49372,                0.55174,                0.32507,                  1.527,                0.91849,                 1.3774,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.0704,                0.64603,                 1.0999,                0.89787,                 0.5049,                0.59262,                0.34118,                 1.4712,                0.87579,                 1.3715,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.0747,                0.64655,                 1.0987,                0.85418,                0.55573,                0.61713,                0.35652,                 1.5057,                0.88454,                 1.3902,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.0485,                0.62879,                 1.0838,                0.85611,                0.54894,                0.60567,                0.35605,                 1.4974,                0.89687,                 1.3777,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.0476,                0.62943,                 1.0875,                0.83644,                0.57395,                0.61543,                0.34433,                 1.5051,                0.91339,                 1.3857,             0.00027508,             0.00027508,             0.00027508
